ADM LGALS3 KLK11 CSF1 CXCL1 IL18 IL6R MMP3 HSPB1 MMP1 CHI3L1 IL1RL1 HAVCR1 THBD IL16 MMP10 CTSD CXCL6 CXCL16 MMP12 SPON1 CX3CL1 NPPB
ADM 1 0.332318799539933 0.385548830091169 0.493349802977758 0.0951062796901016 0.239302776953247 0.163290082098711 0.249222482410843 0.0514315574303809 0.154233075128193 0.263742613739524 0.198830242027927 0.231619119422023 0.393499033786749 0.384529494039203 0.253999751341849 0.310560205605282 0.133000640362326 0.354306822951994 0.218583451856991 0.367485203847905 0.414564549732514 0.225477806994848
LGALS3 0.332318799539933 1 0.335831818182087 0.343059235472772 0.117314974451402 0.19834263024465 0.322629929158922 0.289599402137037 0.130688322235911 0.135816889876713 0.222667750986614 0.210577737594974 0.174495064888685 0.359487304431621 0.275186419955112 0.260352913686026 0.263808642601312 0.146663854197124 0.409281530848263 0.248572094971503 0.392754716801289 0.267343585508603 0.111044381890797
KLK11 0.385548830091169 0.335831818182087 1 0.531581849052964 0.0606575015733613 0.256423245414591 0.0339399078954282 0.265999880625513 -0.0121863102060012 0.139679183013748 0.161390736970958 0.210133153557663 0.264595537718967 0.515294185627447 0.441942585322728 0.311250109400533 0.235207224701335 0.0966804334425667 0.322364438639481 0.182208917704275 0.401333394086731 0.508401964840228 0.155051473124771
CSF1 0.493349802977758 0.343059235472772 0.531581849052964 1 0.166791927828523 0.360896015297032 0.154556583534095 0.294163418351902 0.0806475281561932 0.223153968435408 0.21220939201998 0.292208988703549 0.281302171939963 0.72040740415387 0.619010685809168 0.365908603735786 0.355141454268042 0.204342212595465 0.398292602389719 0.270598562082106 0.477589984383438 0.566278611536119 0.154720366120229
CXCL1 0.0951062796901016 0.117314974451402 0.0606575015733613 0.166791927828523 1 0.119573199069483 0.110846996965503 0.0693967110235031 0.494748814200009 0.305662718707422 0.0895725367145958 0.066591225946739 0.0801009263289994 0.135606548839496 0.129645790465122 0.0764541435248741 0.1635802440498 0.641311715351149 0.0954133642847367 0.0757883451475562 0.127895848608991 0.0874082210209637 0.030021801210822
IL18 0.239302776953247 0.19834263024465 0.256423245414591 0.360896015297032 0.119573199069483 1 0.133060561161415 0.143905051913589 0.106718348171436 0.127631833533338 0.173966475554261 0.189671942320733 0.167654253473906 0.318370395260123 0.288735595971241 0.163967634513549 0.294398651918938 0.155411266748405 0.241101456926069 0.17146160565018 0.239490172459197 0.245434105967856 0.0649209879281166
IL6R 0.163290082098711 0.322629929158922 0.0339399078954282 0.154556583534095 0.110846996965503 0.133060561161415 1 0.183150874453585 0.209286251612495 0.0487784443789607 0.138809380033536 0.111273890299631 0.0499636350475702 0.201719929541044 0.0978057432302971 0.128646157603722 0.161756732050867 0.167223909559961 0.259937632249064 0.194178111153314 0.216941568778584 0.0290237920737418 0.0408525593126814
MMP3 0.249222482410843 0.289599402137037 0.265999880625513 0.294163418351902 0.0693967110235031 0.143905051913589 0.183150874453585 1 0.0725364132961514 0.101421332032919 0.168062503344909 0.201215314121461 0.129458901917084 0.29956962197657 0.221877218019104 0.165818327571056 0.142203133905356 0.108690169341705 0.276035724915804 0.0984368085841576 0.292454469184584 0.255266485499486 0.143947557929095
HSPB1 0.0514315574303809 0.130688322235911 -0.0121863102060012 0.0806475281561932 0.494748814200009 0.106718348171436 0.209286251612495 0.0725364132961514 1 0.192349369358108 0.0835134451474946 0.0231492715128568 0.0375167549840296 0.0976601175056149 0.0750804830456208 0.0691375419757539 0.147645503789526 0.394348999980697 0.0823075396366479 0.0862817143841529 0.0954695638325167 -0.0012376980662364 0.00869359170334417
MMP1 0.154233075128193 0.135816889876713 0.139679183013748 0.223153968435408 0.305662718707422 0.127631833533338 0.0487784443789607 0.101421332032919 0.192349369358108 1 0.104554787856003 0.0985159269253013 0.108031126512453 0.180747312001311 0.178349035551628 0.157861277526573 0.146309619682082 0.346582273637154 0.116558523071932 0.117670971060623 0.165037123593578 0.140873831293498 0.0216996745165904
CHI3L1 0.263742613739524 0.222667750986614 0.161390736970958 0.21220939201998 0.0895725367145958 0.173966475554261 0.138809380033536 0.168062503344909 0.0835134451474946 0.104554787856003 1 0.226375746561731 0.218533558280804 0.174554890583419 0.17277121776102 0.143379705990239 0.379841414442213 0.11928323762924 0.206593811966613 0.165580611355222 0.257834655036105 0.164298700845827 0.123502691384867
IL1RL1 0.198830242027927 0.210577737594974 0.210133153557663 0.292208988703549 0.066591225946739 0.189671942320733 0.111273890299631 0.201215314121461 0.0231492715128568 0.0985159269253013 0.226375746561731 1 0.207465689525539 0.262534287297947 0.221279618721187 0.170613772932843 0.295926627228361 0.112353495969561 0.268104554213421 0.142521413751098 0.313231090870829 0.22061593992465 0.111293147642286
HAVCR1 0.231619119422023 0.174495064888685 0.264595537718967 0.281302171939963 0.0801009263289994 0.167654253473906 0.0499636350475702 0.129458901917084 0.0375167549840296 0.108031126512453 0.218533558280804 0.207465689525539 1 0.267869931899789 0.254706452138911 0.168105749146472 0.222451121485756 0.105242524232241 0.236921387705672 0.128047714662352 0.288451330496455 0.24131541264876 0.116220731405779
THBD 0.393499033786749 0.359487304431621 0.515294185627447 0.72040740415387 0.135606548839496 0.318370395260123 0.201719929541044 0.29956962197657 0.0976601175056149 0.180747312001311 0.174554890583419 0.262534287297947 0.267869931899789 1 0.618150545475922 0.346604549303711 0.300601738460583 0.197554986745038 0.38205726834343 0.249795013228386 0.443445001448242 0.53986398365718 0.0995994482298682
IL16 0.384529494039203 0.275186419955112 0.441942585322728 0.619010685809168 0.129645790465122 0.288735595971241 0.0978057432302971 0.221877218019104 0.0750804830456208 0.178349035551628 0.17277121776102 0.221279618721187 0.254706452138911 0.618150545475922 1 0.305603015835965 0.267042715131153 0.183506814361737 0.292613624342867 0.244884871729509 0.394232607933605 0.471455386417686 0.130803956067006
MMP10 0.253999751341849 0.260352913686026 0.311250109400533 0.365908603735786 0.0764541435248741 0.163967634513549 0.128646157603722 0.165818327571056 0.0691375419757539 0.157861277526573 0.143379705990239 0.170613772932843 0.168105749146472 0.346604549303711 0.305603015835965 1 0.205503562642516 0.100158333540264 0.255245431912579 0.275445113075622 0.289709871263176 0.265458729542224 0.0906080878768357
CTSD 0.310560205605282 0.263808642601312 0.235207224701335 0.355141454268042 0.1635802440498 0.294398651918938 0.161756732050867 0.142203133905356 0.147645503789526 0.146309619682082 0.379841414442213 0.295926627228361 0.222451121485756 0.300601738460583 0.267042715131153 0.205503562642516 1 0.217905080445637 0.330413406798053 0.169366426740789 0.31474219348576 0.211813187236653 0.0309313893375184
CXCL6 0.133000640362326 0.146663854197124 0.0966804334425667 0.204342212595465 0.641311715351149 0.155411266748405 0.167223909559961 0.108690169341705 0.394348999980697 0.346582273637154 0.11928323762924 0.112353495969561 0.105242524232241 0.197554986745038 0.183506814361737 0.100158333540264 0.217905080445637 1 0.148520356618888 0.120723470665094 0.202780588045084 0.132668830878033 0.0465780452908836
CXCL16 0.354306822951994 0.409281530848263 0.322364438639481 0.398292602389719 0.0954133642847367 0.241101456926069 0.259937632249064 0.276035724915804 0.0823075396366479 0.116558523071932 0.206593811966613 0.268104554213421 0.236921387705672 0.38205726834343 0.292613624342867 0.255245431912579 0.330413406798053 0.148520356618888 1 0.226430712711458 0.475369861876397 0.346865309314127 0.118305853686202
MMP12 0.218583451856991 0.248572094971503 0.182208917704275 0.270598562082106 0.0757883451475562 0.17146160565018 0.194178111153314 0.0984368085841576 0.0862817143841529 0.117670971060623 0.165580611355222 0.142521413751098 0.128047714662352 0.249795013228386 0.244884871729509 0.275445113075622 0.169366426740789 0.120723470665094 0.226430712711458 1 0.282496799701633 0.1417263411753 0.0803511856653259
SPON1 0.367485203847905 0.392754716801289 0.401333394086731 0.477589984383438 0.127895848608991 0.239490172459197 0.216941568778584 0.292454469184584 0.0954695638325167 0.165037123593578 0.257834655036105 0.313231090870829 0.288451330496455 0.443445001448242 0.394232607933605 0.289709871263176 0.31474219348576 0.202780588045084 0.475369861876397 0.282496799701633 1 0.496660736863365 0.200966570253648
CX3CL1 0.414564549732514 0.267343585508603 0.508401964840228 0.566278611536119 0.0874082210209637 0.245434105967856 0.0290237920737418 0.255266485499486 -0.0012376980662364 0.140873831293498 0.164298700845827 0.22061593992465 0.24131541264876 0.53986398365718 0.471455386417686 0.265458729542224 0.211813187236653 0.132668830878033 0.346865309314127 0.1417263411753 0.496660736863365 1 0.209262455798497
NPPB 0.225477806994848 0.111044381890797 0.155051473124771 0.154720366120229 0.030021801210822 0.0649209879281166 0.0408525593126814 0.143947557929095 0.00869359170334417 0.0216996745165904 0.123502691384867 0.111293147642286 0.116220731405779 0.0995994482298682 0.130803956067006 0.0906080878768357 0.0309313893375184 0.0465780452908836 0.118305853686202 0.0803511856653259 0.200966570253648 0.209262455798497 1
