"gene" "nSNP" "MR.Egger" "MR.WMedian" "MR.IVW" "MR.SM" "MR.WMode" "Egger.intercept"
"1" "ADM" 407 0.676815928173399 9.14896647344453e-28 4.91402267818567e-26 0.000492603533051297 0.000445711256415411 0.313598325918963
"2" "PGF" 28 0.606282055187225 0.000352599625746125 1.12584643441657e-05 0.0666047838723055 0.0663169242865351 0.553263053004011
"3" "TNFRSF11B" 106 0.251473213989693 5.28545327597046e-15 9.15520996160505e-10 0.00058460011280655 0.000793492188358261 0.535913857453282
"4" "KLK6" 7 0.851976044455887 0.11333951606143 0.0809188993004959 0.228415373475387 0.207008491779672 0.989528976422916
"5" "LGALS3" 843 2.54134888641242e-55 1.14338989812388e-177 2.53885826988065e-81 1.76675347657447e-49 3.80159189005887e-78 2.5213382668545e-11
"6" "KLK11" 31 0.711316850528331 0.720789737595534 0.811955470496012 0.970730269483962 0.768712117683615 0.767580717782516
"7" "TEK" 152 0.0235456971425377 5.92777376529013e-32 1.88687937720062e-18 1.42526851345265e-08 5.17474364015512e-11 0.14109169130987
"8" "CSF1" 7 0.154342351592071 0.604184451554315 0.689816740306154 0.56184291748799 0.520111679317558 0.163986162642467
"9" "CXCL1" 34 0.19279021502714 0.861196677028254 0.364204693374758 0.931346446313785 0.925228502586566 0.216554134320544
"10" "IL18" 110 0.0718727789382511 0.445878516848279 0.950427041485428 0.364731489847484 0.235968402979776 0.064015941657238
"11" "IL6R" 428 0.0011835443649121 1.25985836755897e-29 4.65542846620399e-46 6.39195862000657e-07 7.89197199392904e-12 0.00147906894401371
"12" "MMP3" 339 0.414288477804274 0.0005711256845537 4.75635293216708e-07 0.38653615473385 0.0993196379229263 0.405806982106528
"13" "HSPB1" 48 0.762874590061907 0.153058064742727 0.0457398417472841 0.0240405694451739 0.959341943399815 0.978001385789356
"14" "MMP1" 119 0.608151687256313 0.00179805587363315 0.0112620882964232 0.153718947270182 0.124813970451698 0.294225351285888
"15" "CHI3L1" 146 0.546536508511267 1.94898039152923e-06 2.85860177106612e-12 1.2609487013443e-05 0.0993591677040225 0.201375353809641
"16" "IL1RL1" 661 1.30590420219879e-05 7.93977813339182e-45 7.07732780529043e-47 7.36527952450427e-07 2.14997738543916e-08 0.622270027860669
"17" "HAVCR1" 222 0.00186149973730488 0.998495346476967 1.63635044340658e-07 0.89873928287245 0.771765594487194 9.34230918946619e-06
"18" "THBD" 60 0.490806785327668 0.860883604664953 0.0656759497553464 0.737142599756562 0.815677951685345 0.1402803435231
"19" "IL16" 28 0.765324368919046 3.54418414480815e-10 0.002549828237043 3.9330184710366e-05 9.16523412924744e-06 0.35392466747264
"20" "MMP10" 161 0.351360431406266 7.42344267866879e-12 3.37872214243954e-16 1.98347378831913e-05 2.12062329627091e-05 0.0109968960416764
"21" "CTSD" 137 0.000338182373091105 1.58344365158513e-05 0.154641479257361 2.30411562120712e-06 7.84281935954651e-09 0.00091712503996479
"22" "CXCL6" 81 0.622778350609715 2.32711092627068e-07 1.9685684471127e-09 0.020392159593648 0.0284690099927939 0.146572562980711
"23" "CXCL16" 76 0.845451093730441 1.01452947756185e-05 1.3708564885353e-05 0.0466367062186758 0.0521828382778578 0.446657126144022
"24" "MMP12" 386 0.110897538949362 0.493683291394739 0.602203359770358 0.269232702250703 0.479784267004551 0.130175149894253
"25" "SPON1" 154 0.863284537166634 0.388945659846647 0.0920367874181167 0.982279773782226 0.951250688717186 0.991450311409526
"26" "CX3CL1" 19 0.290631079703432 0.244241064393864 0.390744383358636 0.437524842303346 0.380419316885376 0.319360207477357
"27" "NPPB" 116 0.16216579985081 2.12635475970414e-36 5.11905901697635e-22 4.37146008773055e-09 1.79721676871435e-10 0.00522906972468328
