"LGALS3" "KLK11" "CSF1" "CXCL1" "IL18" "ADM" "IL6R" "MMP3" "HSPB1" "MMP1" "CHI3L1" "IL1RL1" "HAVCR1" "THBD" "IL16" "MMP10" "CTSD" "CXCL6" "CXCL16" "MMP12" "SPON1" "CX3CL1" "NPPB"
"LGALS3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KLK11" 0.139354343824981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0639169183057436 0 0 0 0 0 0
"CSF1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CXCL1" 0.0553320606635439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.104156251491793 0 0 0 0 0 0
"IL18" 0 0 0.155417329766649 0.0895068608823598 0 0.0962243138042642 0 0 0.0957869044063827 0 0 0.0830099038358907 0 0 0 0 0.174400694554228 0.0973879362908102 0.237501600147336 0 0 0.076790428155463 0
"ADM" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL6R" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MMP3" 0.133611277250377 0 0.111549462284051 0 0 0 0 0 0 0 0.133552941492209 0.0961369653901391 0 0 0 0.0986339729342636 0 0.0493955363622853 0 0 0.215882148570341 0.108272750542545 0
"HSPB1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MMP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHI3L1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IL1RL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HAVCR1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"THBD" 0.137170192822965 0 0 0 0 0 0 0 0 0 0 0.0900986087759896 0 0 0 0 0 0 0 0 0 0 0
"IL16" 0 0 0.494121593966914 0.103627034345575 0 0.285472273842474 0 0.220620014356849 0 0 0.140965448819014 0.0563958893435825 0 0 0 0.284288916490387 0.110523598398681 0.125507144520609 0 0 0.344792045340226 0.369657200595991 0
"MMP10" 0 0 0 0 0 0 0 0 0 0 0 0.0556979225324501 0 0 0 0 0 0 0 0 0 0 0
"CTSD" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CXCL6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CXCL16" 0.269926619493532 0 0.185588482974072 0 0 0.244266304830545 0 0 0.0601864752000009 0 0 0.164130110979062 0 0 0 0 0.224501678447205 0.0694207884326053 0 0 0 0.189933513748416 0
"MMP12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SPON1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CX3CL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NPPB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
