"LGALS3" "KLK11" "CSF1" "CXCL1" "IL18" "ADM" "IL6R" "MMP3" "HSPB1" "MMP1" "CHI3L1" "IL1RL1" "HAVCR1" "THBD" "IL16" "MMP10" "CTSD" "CXCL6" "CXCL16" "MMP12" "SPON1" "CX3CL1" "NPPB"
"LGALS3" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"KLK11" 1.30862954072017e-13 1 1 0.171472128581012 1 1 1 1 1 1 1 0.0229495146726259 1 1 1 1 0.000359057993847087 1 1 1 1 1 1
"CSF1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"CXCL1" 0.000510169276325525 1 1 1 1 1 1 1 1 1 1 0.141602274799808 1 1 1 1 7.73876668056946e-12 1 1 1 1 1 1
"IL18" 0.0548897005399929 1 2.6592077894794e-32 4.51516456466857e-06 1 1.55170615599985e-09 1 1 2.55033676088289e-08 1 1 3.75286380038107e-07 1 1 1 1 1.65587758590826e-27 2.48008208900316e-08 5.22943568097787e-47 1 1 4.5806530831905e-07 1
"ADM" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"IL6R" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"MMP3" 9.75343216279115e-17 1 1.62177579300426e-17 0.0896852250713286 1 1 1 1 1 1 2.73139738354306e-17 2.96593211398473e-09 1 1 1 3.27246323730224e-09 0.469764499713799 0.00567437697271729 1 1 6.35868919721139e-44 1.00097458229904e-12 1
"HSPB1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"MMP1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"CHI3L1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"IL1RL1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"HAVCR1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"THBD" 6.31943031912279e-09 1 1 1 1 1 1 1 1 1 1 0.0001585726756471 1 1 1 1 1 1 1 1 1 1 1
"IL16" 0.336684646397894 1 6.22978326767465e-296 6.84426611277471e-07 1 9.10842918321724e-70 1 8.57670971841623e-44 1 1 3.11324936682948e-19 0.00971408759504598 1 1 1 7.2335932068581e-66 2.50000530203521e-10 4.78042146454915e-11 1 1 4.3840223058646e-110 2.0613538915323e-124 1
"MMP10" 1 1 1 1 1 1 1 1 1 1 1 0.00121248557055009 1 1 1 1 1 0.0838573930062595 1 1 1 1 1
"CTSD" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"CXCL6" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"CXCL16" 3.68641760030645e-57 1 2.62178968091202e-43 0.0145114746048377 1 6.91805733631942e-53 1 1 0.000464616622749376 1 1 7.86380548578544e-23 1 1 1 1 2.5357870970744e-41 0.000284518363311674 1 1 1 3.98720436617747e-34 1
"MMP12" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"SPON1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"CX3CL1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"NPPB" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
