CHI3L1 CXCL16 FABP4 FS HGF hK11 HSP_27 IL.1ra KIM.1 MMP.10 MMP.12 MMP.3 NT.pro_BNP TM U.PAR
CHI3L1 0 0 0 0 0 0.0183247957536555 0 0 0 0 0 0 0 0 0.124722184123761
CXCL16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FABP4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FS 0 0.0629658085266994 0 0 0 0 0 0 0 0 0 0 0 0 0
HGF 0 0 0 0 0 0 0.0630293091955852 0 0 0 0.0789166892653226 0 0 0 0
hK11 0 0 0 0 0 0 0 0 0 0 0.0754121667086574 0.0904380492020036 0 0 0
HSP_27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0295706289609633
IL.1ra 0 0 0 0 0 0 0 0 0 0 0.0303733991531399 0.0016621220710109 0 0 0
KIM.1 0 0 0 0.0750335635112247 0 0 0 0 0 0 0 0 0 0.0857226394576134 0
MMP.10 0 0 0 0 0 0 0 0 0 0 0.100395007983358 0.088009701113374 0.00655267325816355 0 0
MMP.12 0 0 0 0 0 0 0 0 0 0 0 0 0.0160278850165175 0 0
MMP.3 0 0 0 0 0 0 0 0 0 0 0.0096513304364775 0 0 0 0
NT.pro_BNP 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TM 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
U.PAR 0 0 0 0 0 0.0624954400635332 0 0.157761145015042 0 0.0796792336076708 0 0 0.0254548711819515 0 0
